SL. No.,CS1,CS1,CS1,DS,DS,DS,DM,DM,DM,PP,PP,PP,JP,JP,JP,P&S,P&S,P&S
,Mid-1,Mid-2,Mid3,Mid-1,Mid-2,Mid3,Mid-1,Mid-2,Mid3,Mid-1,Mid-2,Mid3,Mid-1,Mid-2,Mid3,Mid-1,Mid-2,Mid3
1,16.5,0.0,0.0,19.0,0.0,0.0,17.0,19.0,0.0,16.0,15.0,0.0,16.0,19.0,0.0,16.0,0.0,0.0
2,9.5,0.0,0.0,11.0,0.0,0.0,13.0,13.0,0.0,15.0,12.0,0.0,11.0,17.0,0.0,15.0,14.0,0.0
3,9.0,0.0,0.0,11.0,0.0,0.0,13.0,12.0,0.0,14.0,6.0,0.0,5.0,13.0,13.0,12.0,17.0,0.0
4,17.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,17.0,18.0,0.0,18.0,20.0,0.0,18.0,20.0,0.0
5,10.0,0.0,0.0,15.0,0.0,0.0,17.0,12.0,0.0,11.0,17.0,0.0,11.0,11.0,16.0,15.0,17.0,0.0
6,2.5,0.0,0.0,20.0,0.0,0.0,13.0,13.0,0.0,9.0,6.0,0.0,6.0,7.0,13.0,9.0,12.0,0.0
7,11.5,0.0,0.0,15.0,0.0,0.0,13.0,15.0,0.0,10.0,12.0,0.0,6.0,11.0,12.0,8.0,15.0,0.0
8,16.5,0.0,0.0,18.0,0.0,0.0,14.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,15.0,16.0,0.0,0.0
9,11.0,0.0,0.0,18.0,0.0,0.0,17.0,17.0,0.0,14.0,15.0,0.0,13.0,9.0,14.0,15.0,15.0,0.0
10,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,12.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0
11,7.0,0.0,0.0,12.0,0.0,0.0,19.0,18.0,0.0,17.0,14.0,0.0,14.0,16.0,0.0,18.0,10.0,0.0
12,13.5,0.0,0.0,14.0,0.0,0.0,11.0,17.0,0.0,19.0,17.0,0.0,1.0,17.0,0.0,15.0,13.0,0.0
13,9.5,0.0,0.0,11.0,0.0,0.0,17.0,17.0,0.0,17.0,15.0,0.0,16.0,18.0,0.0,17.0,13.0,0.0
14,8.5,0.0,0.0,6.0,0.0,0.0,5.0,17.0,0.0,12.0,12.0,0.0,1.0,13.0,7.0,12.0,16.0,0.0
15,18.5,0.0,0.0,20.0,0.0,0.0,15.0,19.0,0.0,17.0,19.0,0.0,15.0,16.0,0.0,19.0,20.0,0.0
16,16.5,0.0,0.0,17.0,0.0,0.0,19.0,20.0,0.0,14.0,19.0,0.0,12.0,19.0,0.0,16.0,7.0,0.0
17,1.0,0.0,0.0,5.0,0.0,0.0,2.0,8.0,0.0,10.0,12.0,0.0,6.0,8.0,9.0,3.0,4.0,0.0
18,15.5,0.0,0.0,18.0,0.0,0.0,19.0,16.0,0.0,16.0,18.0,0.0,18.0,13.0,10.0,12.0,20.0,0.0
19,11.5,0.0,0.0,17.0,0.0,0.0,16.0,19.0,0.0,17.0,19.0,0.0,15.0,17.0,0.0,17.0,17.0,0.0
20,15.5,0.0,0.0,19.0,0.0,0.0,18.0,20.0,0.0,19.0,19.0,0.0,20.0,20.0,0.0,19.0,19.0,0.0
21,12.5,0.0,0.0,11.0,0.0,0.0,13.0,19.0,0.0,16.0,18.0,0.0,10.0,14.0,0.0,15.0,12.0,0.0
22,13.5,0.0,0.0,19.0,0.0,0.0,17.0,18.0,0.0,15.0,18.0,0.0,16.0,18.0,0.0,14.0,19.0,0.0
23,1.5,0.0,0.0,10.0,0.0,0.0,8.0,8.0,0.0,9.0,0.0,0.0,3.0,2.0,11.0,6.0,4.0,0.0
24,2.0,0.0,0.0,7.0,0.0,0.0,2.0,15.0,0.0,4.0,10.0,0.0,0.0,6.0,3.0,1.0,13.0,0.0
25,3.0,0.0,0.0,11.0,0.0,0.0,4.0,13.0,0.0,4.0,8.0,0.0,5.0,10.0,0.0,2.0,4.0,0.0
26,1.5,0.0,0.0,11.0,0.0,0.0,5.0,6.0,0.0,3.0,8.0,0.0,0.0,6.0,3.0,4.0,8.0,0.0
27,11.5,0.0,0.0,13.0,0.0,0.0,17.0,15.0,0.0,12.0,15.0,0.0,2.0,19.0,14.0,16.0,14.0,0.0
28,12.5,0.0,0.0,12.0,0.0,0.0,12.0,18.0,0.0,16.0,14.0,0.0,12.0,17.0,0.0,4.0,10.0,0.0
29,6.5,0.0,0.0,2.0,0.0,0.0,5.0,17.0,0.0,14.0,12.0,0.0,5.0,16.0,0.0,9.0,17.0,0.0
30,6.0,0.0,0.0,15.0,0.0,0.0,3.0,13.0,0.0,10.0,9.0,0.0,4.0,15.0,0.0,5.0,16.0,0.0
31,16.0,0.0,0.0,15.0,0.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0,11.0,0.0,15.0,11.0,15.0,0.0
32,3.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,0.0,1.0,4.0,0.0,3.0,8.0,9.0,3.0,5.0,0.0
33,11.0,0.0,0.0,8.0,0.0,0.0,15.0,15.0,0.0,12.0,15.0,0.0,7.0,17.0,0.0,10.0,11.0,0.0
34,16.0,0.0,0.0,15.0,0.0,0.0,17.0,19.0,0.0,16.0,18.0,0.0,17.0,20.0,0.0,19.0,17.0,0.0
35,12.0,0.0,0.0,16.0,0.0,0.0,12.0,13.0,0.0,12.0,13.0,0.0,7.0,12.0,0.0,14.0,0.0,0.0
36,16.0,0.0,0.0,19.0,0.0,0.0,16.0,17.0,0.0,15.0,12.0,0.0,13.0,19.0,0.0,14.0,7.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,6.0,5.0,0.0,4.0,7.0,12.0,1.0,6.0,0.0
38,3.5,0.0,0.0,13.0,0.0,0.0,0.0,9.0,0.0,8.0,8.0,0.0,7.0,8.0,13.0,3.0,5.0,0.0
39,19.0,0.0,0.0,19.0,0.0,0.0,18.0,17.0,0.0,17.0,16.0,0.0,12.0,17.0,0.0,17.0,17.0,0.0
40,4.5,0.0,0.0,1.0,0.0,0.0,7.0,5.0,0.0,6.0,9.0,0.0,1.0,4.0,0.0,13.0,8.0,0.0
41,14.5,0.0,0.0,16.0,0.0,0.0,10.0,16.0,0.0,13.0,12.0,0.0,9.0,11.0,0.0,12.0,0.0,0.0
42,1.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,6.0,12.0,0.0,6.0,5.0,6.0,0.0,6.0,0.0
43,9.0,0.0,0.0,4.0,0.0,0.0,11.0,9.0,0.0,10.0,12.0,0.0,0.0,6.0,9.0,16.0,16.0,0.0
44,10.0,0.0,0.0,20.0,0.0,0.0,7.0,18.0,0.0,15.0,9.0,0.0,5.0,19.0,0.0,10.0,15.0,0.0
45,19.0,0.0,0.0,20.0,0.0,0.0,16.0,20.0,0.0,19.0,20.0,0.0,0.0,19.0,0.0,19.0,20.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,11.0,0.0,0.0,11.0,0.0,0.0,13.0,16.0,0.0,13.0,12.0,0.0,4.0,9.0,14.0,10.0,4.0,0.0
48,18.0,0.0,0.0,16.0,0.0,0.0,17.0,19.0,0.0,17.0,19.0,0.0,13.0,20.0,0.0,17.0,20.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,19.0,0.0,0.0,20.0,16.0,0.0,18.0,0.0
50,7.0,0.0,0.0,6.0,0.0,0.0,7.0,12.0,0.0,13.0,13.0,0.0,8.0,15.0,0.0,13.0,20.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,17.0,0.0,13.0,13.0,10.0,0.0,17.0,0.0
52,10.5,0.0,0.0,5.0,0.0,0.0,6.0,14.0,0.0,13.0,12.0,0.0,4.0,17.0,0.0,7.0,15.0,0.0
53,9.0,0.0,0.0,5.0,0.0,0.0,11.0,7.0,0.0,12.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0
54,10.0,0.0,0.0,3.0,0.0,0.0,13.0,9.0,0.0,10.0,7.0,0.0,2.0,5.0,11.0,9.0,2.0,0.0
55,16.0,0.0,0.0,15.0,0.0,0.0,18.0,19.0,0.0,17.0,19.0,0.0,11.0,19.0,0.0,19.0,18.0,0.0
56,13.0,0.0,0.0,20.0,0.0,0.0,15.0,15.0,0.0,14.0,16.0,0.0,7.0,18.0,0.0,8.0,18.0,0.0
57,8.0,0.0,0.0,12.0,0.0,0.0,12.0,15.0,0.0,15.0,15.0,0.0,6.0,19.0,20.0,6.0,17.0,0.0
58,6.0,0.0,0.0,1.0,0.0,0.0,5.0,8.0,0.0,5.0,12.0,0.0,0.0,3.0,14.0,2.0,12.0,0.0
59,8.5,0.0,0.0,2.0,0.0,0.0,11.0,7.0,0.0,11.0,10.0,0.0,4.0,12.0,13.0,10.0,10.0,0.0
60,9.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,6.0,8.0,0.0,0.0,16.0,4.0,10.0,15.0,0.0
61,0.0,0.0,0.0,5.0,0.0,0.0,1.0,6.0,0.0,9.0,6.0,0.0,3.0,5.0,5.0,10.0,12.0,0.0
62,12.0,0.0,0.0,17.0,0.0,0.0,14.0,17.0,0.0,16.0,17.0,0.0,20.0,18.0,0.0,16.0,20.0,0.0
63,16.0,0.0,0.0,19.0,0.0,0.0,18.0,20.0,0.0,17.0,16.0,0.0,19.0,20.0,0.0,15.0,20.0,0.0
64,12.5,0.0,0.0,15.0,0.0,0.0,12.0,14.0,0.0,16.0,10.0,0.0,16.0,13.0,0.0,12.0,17.0,0.0
65,6.0,0.0,0.0,7.0,0.0,0.0,8.0,9.0,0.0,13.0,3.0,0.0,12.0,4.0,0.0,8.0,2.0,0.0
66,9.0,0.0,0.0,12.0,0.0,0.0,11.0,13.0,0.0,14.0,12.0,0.0,15.0,17.0,0.0,7.0,16.0,0.0
